"date","close","volume","open","high","low"
"2016/10/25","6.0600","1816752.0000","6.1300","6.1750","6.0400"
"2016/10/24","6.1900","1446695.0000","6.1100","6.1900","6.0300"
"2016/10/21","6.2300","876664.0000","6.1800","6.2300","6.1250"
"2016/10/20","6.1800","3066719.0000","6.1900","6.2500","6.1500"
"2016/10/19","6.3100","3233225.0000","6.2500","6.4100","6.2500"
"2016/10/18","6.1800","958033.0000","6.2000","6.2000","6.0900"
"2016/10/17","6.1300","917391.0000","6.1400","6.1700","6.0500"
"2016/10/14","6.1800","1696706.0000","6.1900","6.2000","6.1000"
"2016/10/13","6.1800","3317871.0000","6.1300","6.2000","6.0200"
"2016/10/12","6.1600","1694148.0000","6.1500","6.1800","6.1000"
"2016/10/11","6.2300","4412402.0000","6.3100","6.3500","6.1700"
"2016/10/10","6.2900","4039180.0000","6.2000","6.3700","6.2000"
"2016/10/07","6.0600","2881741.0000","6.1900","6.2000","6.0400"
"2016/10/06","6.2200","3542865.0000","6.1700","6.2200","6.1200"
"2016/10/05","6.1000","4452266.0000","6.0700","6.1200","6.0100"
"2016/10/04","5.9200","2832757.0000","5.9900","6.0000","5.9000"
"2016/10/03","5.9500","2831001.0000","5.8700","5.9900","5.8300"
"2016/09/30","5.8300","3380431.0000","5.8500","5.8700","5.7800"
"2016/09/29","5.7600","3901014.0000","5.7500","5.8800","5.7000"
"2016/09/28","5.6700","5666173.0000","5.4900","5.7900","5.3550"
"2016/09/27","5.4000","3306643.0000","5.4200","5.4831","5.3300"
"2016/09/26","5.5400","2736862.0000","5.5200","5.6300","5.5000"
"2016/09/23","5.4400","3637965.0000","5.6400","5.6800","5.3600"
"2016/09/22","5.6400","2966600.0000","5.6800","5.7100","5.6200"
"2016/09/21","5.5700","3553357.0000","5.4900","5.5900","5.4701"
"2016/09/20","5.3900","3227265.0000","5.2700","5.4350","5.2400"
"2016/09/19","5.3300","2594059.0000","5.3400","5.4700","5.3200"
"2016/09/16","5.3200","3519697.0000","5.3000","5.4200","5.2800"
"2016/09/15","5.4200","3532163.0000","5.4100","5.5000","5.3300"
"2016/09/14","5.3800","4627594.0000","5.4500","5.5510","5.3300"
"2016/09/13","5.5200","3489087.0000","5.5900","5.6290","5.4900"
"2016/09/12","5.6900","1579245.0000","5.5200","5.7500","5.4980"
"2016/09/09","5.6600","3184676.0000","5.7900","5.8100","5.6400"
"2016/09/08","5.9000","4645646.0000","5.7800","5.9500","5.6701"
"2016/09/07","5.6300","1495287.0000","5.5700","5.6500","5.5000"
"2016/09/06","5.5300","1578225.0000","5.4500","5.5700","5.4148"
"2016/09/02","5.4500","1812613.0000","5.4400","5.5300","5.4000"
"2016/09/01","5.3600","3643746.0000","5.4100","5.4600","5.2800"
"2016/08/31","5.5300","2919672.0000","5.6600","5.6900","5.4800"
"2016/08/30","5.7500","1632596.0000","5.8600","5.8900","5.7000"
"2016/08/29","5.8200","896139.0000","5.7800","5.8670","5.7700"
"2016/08/26","5.8600","1684655.0000","5.8500","6.0290","5.7901"
"2016/08/25","5.8500","1347328.0000","5.7600","5.8900","5.7500"
"2016/08/24","5.7800","2760543.0000","5.8500","5.9000","5.7300"
"2016/08/23","5.9400","2675892.0000","5.7800","6.0000","5.7500"
"2016/08/22","5.8800","2659443.0000","5.9300","5.9700","5.8650"
"2016/08/19","6.0800","2838037.0000","6.0900","6.1100","6.0200"
"2016/08/18","6.0800","4100672.0000","5.9400","6.1100","5.9400"
"2016/08/17","5.8800","3181888.0000","5.8300","5.9000","5.7200"
"2016/08/16","5.8500","3066453.0000","5.7900","5.8600","5.7300"
"2016/08/15","5.7900","2634679.0000","5.7100","5.8000","5.6700"
"2016/08/12","5.6200","3217571.0000","5.5400","5.6350","5.5000"
"2016/08/11","5.4600","3912607.0000","5.2800","5.5410","5.2510"
"2016/08/10","5.2100","3068331.0000","5.4300","5.4919","5.2000"
"2016/08/09","5.4100","1864634.0000","5.5000","5.5302","5.3700"
"2016/08/08","5.4300","2699835.0000","5.4200","5.5200","5.4000"
"2016/08/05","5.3000","2055073.0000","5.2600","5.3000","5.1500"
"2016/08/04","5.2600","3218020.0000","5.1000","5.3100","5.0600"
"2016/08/03","5.1300","6355584.0000","4.9800","5.1700","4.8800"
"2016/08/02","4.9600","4489017.0000","5.0800","5.1100","4.8800"
"2016/08/01","4.9700","5049127.0000","5.1200","5.1300","4.9700"
"2016/07/29","5.2300","3384641.0000","5.1000","5.2450","5.0700"
